depth,Location,Horizon,sample #,beaker wt,beaker wt,wet wt,wet wt,dry wt (pre 450),micro dry wt (pre 450),Post 450 wt,Post 450 wt,LOI (g),%SOM,%SOC
0,1,a,,,0,,0,,0,,0,0,#DIV/0!,#DIV/0!
1,1,b,,,0,,0,,0,,0,0,#DIV/0!,#DIV/0!
4,1,c,a2,             19.415 g   ,19.415,             22.003 g   ,22.003,             21.988 g   ,21.988,             21.928 g   ,21.928,0.06,2.331908278,1.355760627
6,1,d,c34,             19.124 g   ,19.124,             21.621 g   ,21.621,             21.604 g   ,21.604,             21.516 g   ,21.516,0.088,3.548387097,2.063015754
10,1,e,b11,             18.154 g   ,18.154,             20.571 g   ,20.571,             20.565 g   ,20.565,             20.522 g   ,20.522,0.043,1.783492327,1.036914144
16,1,f,A5,             18.459 g   ,18.459,             20.932 g   ,20.932,             20.845 g   ,20.845,             20.005 g   ,20.005,0.84,35.20536463,20.46823525
0,2,a,,,0,,0,,0,,0,0,#DIV/0!,#DIV/0!
1,2,b,,,0,,0,,0,,0,0,#DIV/0!,#DIV/0!
3,2,c,a29,             18.423 g   ,18.423,             20.904 g   ,20.904,             20.895 g   ,20.895,             20.839 g   ,20.839,0.056,2.265372168,1.317076842
4,2,d,b1,             19.181 g   ,19.181,             21.676 g   ,21.676,             21.660 g   ,21.66,             21.582 g   ,21.582,0.078,3.146430012,1.829319774
6,2,e,b3,             18.286 g   ,18.286,             20.823 g   ,20.823,             20.811 g   ,20.811,             20.756 g   ,20.756,0.055,2.178217822,1.26640571
11,2,f,a13,             16.610 g   ,16.61,             19.012 g   ,19.012,             18.903 g   ,18.903,             17.982 g   ,17.982,0.921,40.16572176,23.35216382
0,3,a,,,0,,0,,0,,0,0,#DIV/0!,#DIV/0!
1,3,b,,,0,,0,,0,,0,0,#DIV/0!,#DIV/0!
2,3,c,b10,             19.689 g   ,19.689,             21.473 g   ,21.473,             21.366 g   ,21.366,             20.237 g   ,20.237,1.129,67.32259988,39.14104644
4,3,d,a16,             16.146 g   ,16.146,             18.655 g   ,18.655,             18.645 g   ,18.645,             18.592 g   ,18.592,0.053,2.120848339,1.23305136
6,3,e,d28,             19.040 g   ,19.04,             21.513 g   ,21.513,             21.494 g   ,21.494,             21.436 g   ,21.436,0.058,2.363488183,1.374121036
10,3,f,a18,             19.250 g   ,19.25,             21.854 g   ,21.854,             21.837 g   ,21.837,             21.786 g   ,21.786,0.051,1.971395439,1.146160139
16,3,g,b16,             16.321 g   ,16.321,             18.715 g   ,18.715,             18.603 g   ,18.603,             18.145 g   ,18.145,0.458,20.07011394,11.66867089
